Getting repos in ODI org...
there are this many repos: 335
theodi/GCSE-and-equivalent-attainment-by-pupil-characteristics-2012-to-2013,"The Open Data Challenge Series team has pre-selected a series of education open data datasets that could be used by the participants as a starting point.  Among these, two datasets in particular, issued by the UK Government's Department for Education (DfE) were identified as perhaps the most interesting for the volume of information they offer and for being very recent. The team decided to further study and prepare them for the participants' use. This is one of them.",2014-01-31 17:08:38 UTC,2014-12-09 09:27:41 UTC
theodi/GCSE-and-equivalent-results-in-England-2012-to-2013-revised,"The Open Data Challenge Series team has pre-selected a series of education open data datasets that could be used by the participants as a starting point.  Among these, two datasets in particular, issued by the UK Government's Department for Education (DfE) were identified as perhaps the most interesting for the volume of information they offer and for being very recent. The team decided to further study and prepare them for the participants' use. This is one of them.",2014-01-31 17:08:41 UTC,2014-12-09 09:27:25 UTC
theodi/fsatolives,"A script that automagically converts Food Standard Agency open data into Yelp-compatible LIVES data",2014-03-14 16:42:47 UTC,2014-03-17 09:18:52 UTC
theodi/fine-uploader-rails,"FineUploader by Andrew Valums integrated for Rails 3.1+ Asset Pipeline",2014-03-20 10:53:29 UTC,2014-03-20 10:53:29 UTC
theodi/odi-gcloud-analysis,"Analysis of suppliers on G-Cloud who supply open data services.",2014-03-24 22:29:59 UTC,2014-03-24 22:30:53 UTC
theodi/leibniz,"Leibniz is an integration testing framework for Chef",2014-04-16 14:13:10 UTC,2014-04-16 14:37:34 UTC
theodi/rummager,"Public-facing site search",2014-04-22 14:39:36 UTC,2016-10-25 16:52:51 UTC
theodi/chef-odi-elasticsearch-node,"Chef recipe for an ODI elasticsearch node",2014-04-22 21:34:25 UTC,2014-05-07 06:06:10 UTC
theodi/colleen,"data art commission 2014",2014-04-23 10:26:11 UTC,2015-11-19 05:43:41 UTC
theodi/chef-odi-monitoring,"Serverdensity monitoring cookbook",2014-04-25 09:57:21 UTC,2014-04-28 13:05:45 UTC
theodi/kitchen-rackspace,"A Rackspace Cloud driver for Test Kitchen 1.0",2014-04-29 10:37:03 UTC,2014-05-14 02:55:50 UTC
theodi/deployment-test-app,"A sinatra app to test deployment recipes with",2014-05-08 09:48:05 UTC,2014-07-10 13:39:35 UTC
theodi/chef-odi-deployer,"Grand unified chef deployment for ODI rails apps",2014-05-08 13:52:09 UTC,2014-12-23 13:12:13 UTC
theodi/av-control,"AV Control System",2014-05-13 18:22:53 UTC,2018-04-03 12:42:22 UTC
theodi/chef-quirkafleeg-deployment,"Deployment recipe for Quirkafleeg instances",2014-05-16 08:50:09 UTC,2014-05-20 15:28:05 UTC
theodi/chef-bimble-runner,"Recipe for putting bimble-runner on a machine and putting it in cron",2014-05-20 10:19:50 UTC,2014-07-11 15:38:02 UTC
theodi/cid,"Continuous Integration for Data",2014-05-21 14:23:20 UTC,2016-10-19 01:23:16 UTC
theodi/csvhub,"Chrome extension to show nice CSV diffs on GitHub",2014-05-21 14:58:43 UTC,2018-04-10 00:54:38 UTC
theodi/cid-test,"A test repo for http://github.com/theodi/cid",2014-05-22 11:02:18 UTC,2014-06-25 09:53:57 UTC
theodi/odi-quirkafleeg-backend,"Chef wrapper cookbook for deploying quirkafleeg backend",2014-05-27 12:34:57 UTC,2014-06-05 16:11:36 UTC
theodi/single-slides,"A repo for single slides demonstrating open data impacts",2014-05-29 07:14:06 UTC,2014-06-02 03:47:07 UTC
theodi/training-web,"Training micro sites",2014-06-19 13:18:29 UTC,2018-07-31 14:25:28 UTC
theodi/finance-vix,"CBOE Volatility Index (VIX) time-series dataset including daily open, close, high and low.",2014-06-24 10:39:23 UTC,2014-06-26 14:38:10 UTC
theodi/election-data-format,"Defining simple tabular and Linked Data formats for election data",2014-06-25 10:50:38 UTC,2017-03-17 10:12:58 UTC
